table;code;text;level;year;order;valid
atc;A;Alimentary tract and metabolism;1;2015;1;0
atc;A01A;Stomatological preparations;4;2015;2;1
atc;A01AA;Caries prophylactic agents;5;2015;3;1
atc;A01AB;Anti-infectives and antiseptics for local oral treatment;5;2015;4;1
atc;A01AC;Corticosteroids for local oral treatment;5;2015;5;1
atc;A01AD;Other agents for local oral treatment;5;2015;6;0
atc;A02;Drugs for acid related disorders;3;2015;7;0
atc;A02A;Antacid drugs (Stomach acid drugs);4;2015;8;1
atc;A02AA;Magnesium compounds;5;2015;9;1
atc;A02AB;Aluminium compounds;5;2015;10;1
atc;A02AC;Calcium compounds list;5;2015;11;1
atc;A02AD;Combinations and complexes of aluminium;5;2015;12;1
atc;A02AF;Antacids with antiflatulents;5;2015;13;0
atc;A02B;Drugs for peptic ulcer and gastro-oesophageal reflux disease;4;2015;14;1
atc;A02BA;H2-receptor antagonists;5;2015;15;1
atc;A02BB;Prostaglandins;5;2015;16;1
atc;A02BC;Proton pump inhibitors;5;2015;17;1
atc;A02BD;Combinations for eradication of Helicobacter pylori;5;2015;18;1
atc;A02BX;Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD/GERD);5;2015;19;0
atc;A02X;Other drugs for acid related disorders;4;2015;20;0
atc;A03;Drugs for functional gastrointestinal disorders;3;2015;21;0
atc;A03A;Drugs for functional bowel disorders;4;2015;22;1
atc;A03AA;Synthetic anticholinergics;5;2015;23;1
atc;A03AB;Synthetic anticholinergics;5;2015;24;1
atc;A03AC;Synthetic antispasmodics;5;2015;25;1
atc;A03AD;Papaverine and derivatives;5;2015;26;1
atc;A03AE;Serotonin receptor antagonists;5;2015;27;1
atc;A03AX;Other drugs for functional gastrointestinal disorders;5;2015;28;0
atc;A03B;Belladonna and derivatives;4;2015;29;0
atc;A03C;Antispasmodics in combination with psycholeptics;4;2015;30;0
atc;A03D;Antispasmodics in combination with analgesics;4;2015;31;0
atc;A03E;Antispasmodics and anticholinergics in combination with other drugs;4;2015;32;0
atc;A03F;Propulsives;4;2015;33;0
atc;A04A;Antiemetics and antinauseants;4;2015;34;1
atc;A04AA;Serotonin (5-HT3) antagonists;5;2015;35;0
atc;A04AA01;Ondansetron;7;2015;36;0
atc;A04AA02;Granisetron;7;2015;37;0
atc;A04AA03;Tropisetron;7;2015;38;0
atc;A04AA04;Dolasetron;7;2015;39;0
atc;A04AA05;Palonosetron;7;2015;40;0
atc;A04AA55;Palonosetron;7;2015;41;1
atc;A04AD;Other antiemetics;5;2015;42;0
atc;A04AD01;Scopolamine;7;2015;43;0
atc;A04AD02;Cerium oxalate;7;2015;44;0
atc;A04AD04;Chlorobutanol;7;2015;45;0
atc;A04AD05;Metopimazine;7;2015;46;0
atc;A04AD10;Dronabinol;7;2015;47;0
atc;A04AD11;Nabilone;7;2015;48;0
atc;A04AD12;Aprepitant;7;2015;49;0
atc;A04AD13;Casopitant;7;2015;50;0
atc;A04AD51;Scopolamine;7;2015;51;0
atc;A04AD54;Chlorobutanol;7;2015;52;0
atc;A05;Bile and liver therapy;3;2015;53;0
atc;A05A;Bile therapy;4;2015;54;0
atc;A05B;Liver therapy;4;2015;55;0
atc;A05C;Drugs for bile therapy and lipotropics in combination;4;2015;56;1
atc;A05AA;Bile acid preparations;5;2015;57;1
atc;A05AB;Preparations for biliary tract therapy;5;2015;58;1
atc;A05AX;Other drugs for bile therapy;5;2015;59;1
atc;A05BA;Liver therapy;5;2015;60;0
atc;A06A;Drugs for constipation;4;2015;61;1
atc;A06AA;Softeners;5;2015;62;1
atc;A06AB;Contact laxatives;5;2015;63;1
atc;A06AC;Bulk-forming laxatives;5;2015;64;1
atc;A06AD;Osmotically acting laxatives;5;2015;65;1
atc;A06AG;Enemas drugs;5;2015;66;1
atc;A06AH;Peripheral opioid receptor antagonists;5;2015;67;1
atc;A06AX;Other drugs for constipation;5;2015;68;0
atc;A07;Antidiarrheals;3;2015;69;0
atc;A07A;Intestinal anti-infectives;4;2015;70;1
atc;A07AA;Antibiotics;5;2015;71;1
atc;A07AB;Sulfonamides;5;2015;72;1
atc;A07AC;Imidazole derivatives;5;2015;73;1
atc;A07AX;Other intestinal anti-infectives;5;2015;74;0
atc;A07B;Intestinal adsorbents;4;2015;75;1
atc;A07BA;Charcoal preparations;5;2015;76;1
atc;A07BC;Other intestinal adsorbents;5;2015;77;0
atc;A07C;Electrolytes with carbohydrates;4;2015;78;1
atc;A07CA;Oral rehydration salt formulations;5;2015;79;1
atc;A07DA;Antipropulsives;5;2015;80;0
atc;A07E;Intestinal anti-inflammatory agents;4;2015;81;1
atc;A07EA;Corticosteroids acting locally;5;2015;82;1
atc;A07EB;Antiallergic agents;5;2015;83;1
atc;A07EC;Aminosalicylic acid and similar agents;5;2015;84;1
atc;A07FA;Antidiarrheal micro-organisms;5;2015;85;1
atc;A07XA;Other antidiarrheals;5;2015;86;0
atc;A08;Antiobesity preparations;3;2015;87;0
atc;A08A;Anti obesity drugs list;4;2015;88;1
atc;A08AA;Centrally acting anti obesity drugs;5;2015;89;1
atc;A08AB;Peripherally acting anti obesity drugs;5;2015;90;1
atc;A08AX;Other anti obesity drugs;5;2015;91;0
atc;A09A;Digestives;4;2015;92;1
atc;A09AA;Enzyme preparations;5;2015;93;1
atc;A09AB;Acid preparations;5;2015;94;1
atc;A09AC;Enzyme and acid preparations;5;2015;95;0
atc;A10;Drugs used in diabetes;3;2015;96;0
atc;A10A;Insulins and analogues;4;2015;97;0
atc;A10B;Blood glucose lowering drugs;4;2015;98;0
atc;A10X;Other drugs used in diabetes;4;2015;99;1
atc;A10AB;Insulins and analogues for injection;5;2015;100;1
atc;A10AC;Insulins and analogues for injection;5;2015;101;1
atc;A10AD;Insulins and analogues for injection;5;2015;102;1
atc;A10AE;Insulins and analogues for injection;5;2015;103;1
atc;A10AF;Insulins and analogues for inhalation;5;2015;104;1
atc;A10BA;Biguanides;5;2015;105;1
atc;A10BB;Sulfonylureas;5;2015;106;1
atc;A10BC;Sulfonamides (heterocyclic);5;2015;107;1
atc;A10BD;Combinations of oral blood glucose lowering drugs;5;2015;108;1
atc;A10BF;Alpha glucosidase inhibitors;5;2015;109;1
atc;A10BG;Thiazolidinediones;5;2015;110;1
atc;A10BH;Dipeptidyl peptidase 4 (DPP-4) inhibitors;5;2015;111;1
atc;A10BJ;Glucagon-like peptide-1 receptor (GLP-1) analogues;5;2015;112;1
atc;A10BK;Sodium-glucose co-transporter 2 (SGLT2) inhibitors;5;2015;113;1
atc;A10BX;Other blood glucose lowering drugs;5;2015;114;1
atc;A10XA;Aldose reductase inhibitors;5;2015;115;0
atc;A11;Vitamins;3;2015;116;0
atc;A11A;Multivitamins;4;2015;117;0
atc;A11B;Multivitamins;4;2015;118;0
atc;A11C;Vitamin A and D;4;2015;119;0
atc;A11D;Vitamin B1;4;2015;120;0
atc;A11E;Vitamin B-complex;4;2015;121;0
atc;A11G;Ascorbic acid (vitamin C);4;2015;122;1
atc;A11HA;Other plain vitamin preparations;5;2015;123;0
atc;A11J;Other vitamin products;4;2015;124;1
atc;A11AA;Multivitamins with minerals;5;2015;125;1
atc;A11AB;Multivitamins;5;2015;126;1
atc;A11CA;Vitamin A;5;2015;127;1
atc;A11CB;Vitamin A and D in combination;5;2015;128;1
atc;A11CC;Vitamin D and analogues;5;2015;129;1
atc;A11DA;Vitamin B1;5;2015;130;1
atc;A11DB;Vitamin B1 in combination with vitamin B6 and/or vitamin B12;5;2015;131;1
atc;A11EA;Vitamin B-complex;5;2015;132;1
atc;A11EB;Vitamin B-complex with vitamin C;5;2015;133;1
atc;A11EC;Vitamin B-complex with minerals;5;2015;134;1
atc;A11ED;Vitamin B-complex with anabolic steroids;5;2015;135;1
atc;A11EX;Vitamin B-complex;5;2015;136;1
atc;A11GA;Ascorbic acid (vitamin C);5;2015;137;1
atc;A11GB;Ascorbic acid (vitamin C);5;2015;138;0
