code;text;;;;;;;;
A;Alimentary tract and metabolism;;;;;;;;
A01;Stomatological preparations;;;;;;;;
A01A;Stomatological preparations;;;;;;;;
A01AA;Caries prophylactic agents;;;;;;;;
A01AA01;Sodium fluoride;;;;;;;;
A01AA02;Sodium monofluorophosphate;;;;;;;;
A01AA03;Olaflur;;;;;;;;
A01AA04;Stannous fluoride;;;;;;;;
A01AA30;Combinations;;;;;;;;
A01AA51;Sodium fluoride- combinationsbinations;;;;;;;;
A01AB;Antiinfectives and antiseptics for local oral treatment;;;;;;;;
A01AB02;Hydrogen peroxide;;;;;;;;
A01AB03;Chlorhexidine ;;;;;;;;
A01AB04;Amphotericin b;;;;;;;;
A01AB05;Polynoxylin;;;;;;;;
A01AB06;Domiphen;;;;;;;;
A01AB07;Oxyquinoline ;;;;;;;;
A01AB08;Neomycin ;;;;;;;;
A01AB09;Miconazole ;;;;;;;;
A01AB10;Natamycin;;;;;;;;
A01AB11;Various;;;;;;;;
A01AB12;Hexetidine;;;;;;;;
A01AB13;Tetracycline ;;;;;;;;
A01AB14;Benzoxonium chloride;;;;;;;;
A01AB15;Tibezonium iodide;;;;;;;;
A01AB16;Mepartricin;;;;;;;;
A01AB17;Metronidazole ;;;;;;;;
A01AB18;Clotrimazole;;;;;;;;
A01AB19;Sodium perborate;;;;;;;;
A01AB21;Chlortetracycline ;;;;;;;;
A01AB22;Doxycycline ;;;;;;;;
A01AB23;Minocycline ;;;;;;;;
A01AC;Corticosteroids for local oral treatment;;;;;;;;
A01AC01;Triamcinolone ;;;;;;;;
A01AC02;Dexamethasone ;;;;;;;;
A01AC03;Hydrocortisone ;;;;;;;;
A01AC54;Prednisolone- combinationsbinations;;;;;;;;
A01AD;Other agents for local oral treatment;;;;;;;;
A01AD01;Epinephrine ;;;;;;;;
A01AD02;Benzydamine ;;;;;;;;
A01AD05;Acetylsalicylic acid ;;;;;;;;
A01AD06;Adrenalone ;;;;;;;;
A01AD07;Amlexanox;;;;;;;;
A01AD08;Becaplermin;;;;;;;;
A01AD11;Various;;;;;;;;
A02;Drugs for acid related disorders;;;;;;;;
A02A;Antacids;;;;;;;;
A02AA;Magnesium compounds;;;;;;;;
A02AA01;Magnesium carbonate;;;;;;;;
A02AA02;Magnesium oxide;;;;;;;;
A02AA03;Magnesium peroxide;;;;;;;;
A02AA04;Magnesium hydroxide;;;;;;;;
A02AA05;Magnesium silicate;;;;;;;;
A02AA10;Combinations;;;;;;;;
A02AB;Aluminium compounds;;;;;;;;
A02AB01;Aluminium hydroxide;;;;;;;;
A02AB02;Algeldrate;;;;;;;;
A02AB03;Aluminium phosphate;;;;;;;;
A02AB04;Dihydroxialumini sodium carbonate;;;;;;;;
A02AB05;Aluminium acetoacetate;;;;;;;;
A02AB06;Aloglutamol;;;;;;;;
A02AB07;Aluminium glycinate;;;;;;;;
A02AB10;Combinations;;;;;;;;
A02AC;Calcium compounds;;;;;;;;
A02AC01;Calcium carbonate;;;;;;;;
A02AC02;Calcium silicate;;;;;;;;
A02AC10;Combinations;;;;;;;;
A02AD;Combinations and complexes of aluminium; calcium and magnesium compounds;;;;;;;
A02AD01;Ordinary salt combinations;;;;;;;;
A02AD02;Magaldrate;;;;;;;;
A02AD03;Almagate;;;;;;;;
A02AD04;Hydrotalcite;;;;;;;;
A02AD05;Almasilate;;;;;;;;
A02AF;Antacids with antiflatulents;;;;;;;;
A02AF01;Magaldrate and antiflatulents;;;;;;;;
A02AF02;Ordinary salt combinations and antiflatulents;;;;;;;;
A02AG;Antacids with antispasmodics;;;;;;;;
A02AH;Antacids with sodium bicarbonate;;;;;;;;
A02AX;Antacids; other combinations;;;;;;;
A02B;Drugs for peptic ulcer and gastro-oesophageal reflux disease (gord);;;;;;;;
A02BA;H2-receptor antagonists;;;;;;;;
A02BA01;Cimetidine ;;;;;;;;
A02BA02;Ranitidine ;;;;;;;;
A02BA03;Famotidine;;;;;;;;
A02BA04;Nizatidine;;;;;;;;
A02BA05;Niperotidine;;;;;;;;
A02BA06;Roxatidine ;;;;;;;;
A02BA07;Ranitidine bismuth citrate;;;;;;;;
A02BA08;Lafutidine;;;;;;;;
A02BA51;Cimetidine- combinationsbinations;;;;;;;;
A02BA53;Famotidine- combinationsbinations;;;;;;;;
A02BB;Prostaglandins;;;;;;;;
A02BB01;Misoprostol;;;;;;;;
A02BB02;Enprostil;;;;;;;;
A02BC;Proton pump inhibitors;;;;;;;;
A02BC01;Omeprazole ;;;;;;;;
A02BC02;Pantoprazole ;;;;;;;;
A02BC03;Lansoprazole;;;;;;;;
A02BC04;Rabeprazole ;;;;;;;;
A02BC05;Esomeprazole ;;;;;;;;
A02BC06;Dexlansoprazole;;;;;;;;
A02BC07;Dexrabeprazole;;;;;;;;
A02BC53;Lansoprazole- combinationsbinations;;;;;;;;
