code;group;text;weight;djusted_K-drg;trimpunkt;surgical_or_medical
1A;1;Intrakraniell operasjon for svulst i sentralnervesystemet;4,458;;21;S
1B;1;Annen intrakraniell vaskulær operasjon;7,403;;50;S
1C;1;Operasjon for intrakraniell aneurisme, vaskulær anomali eller hemangiom;6,006;;13;S
1D;1;Intrakraniell cerebrospinal fluid shuntoperasjon;4,174;;22;S
1E;1;Annen kraniotomi unntatt ved traume;5,298;;33;S
2A;1;Annen kraniotomi ved traume;6,745;;43;S
2B;1;Operasjon for kronisk subduralt hematom;3,202;;10;S
3N;1;Stereotaktisk intrakraniell strålebehandling;1,1;;5;M
3O;1;Kraniotomi, dagkirurgisk behandling;0,34;0,034;1;S
3P;1;Stereotaktisk intrakraniell strålebehandling, dagmedisinsk behandling;0,426;;1;M
4;1;Op på kolumna/spinalkanal/ryggmarg/nerverøtter;4,677;-0,135;32;S
4O;1;Op på kolumna/spinalkanal/ryggmarg/nerverøtter, dagkirurgisk behandling;2,098;0,21;1;S
5;1;Operasjoner på ekstrakranielle kar;3,294;;25;S
5O;1;Operasjoner på ekstrakranielle kar, dagkirurgisk behandling;1,647;0,165;1;S
6;1;Operasjoner ved karpaltunnelsyndrom;0,591;-0,017;5;S
6O;1;Operasjoner ved karpaltunnelsyndrom, dagkirurgisk behandling;0,232;0,023;1;S
7;1;Perifere, hjerne- & andre nerveop m/bk;2,709;-0,078;22;S
8;1;Perifere, hjerne- & andre nerveop u/bk;1,642;-0,047;8;S
8O;1;Perifere, hjerne- & andre nerveop, dagkirurgisk behandling;0,736;0,074;1;S
9;1;Sykdommer i og skader på ryggmargen;1,079;;10;M
10;1;Svulster i nervesystemet m/bk;1,618;;20;M
11;1;Svulster i nervesystemet u/bk;1,097;;14;M
12;1;Degenerative sykdommer i nervesystemet;0,901;;12;M
13;1;Multippel sklerose & cerebellar ataksi;0,975;;11;M
14A;1;Spesifikke karsykdommer i hjernen ekskl TIA m/bk;1,64;;21;M
14B;1;Spesifikke karsykdommer i hjernen ekskl TIA u/bk;1,074;;21;M
15;1;TIA og okklusjon av precerebrale arterier;0,649;;6;M
16;1;Uspesifikke karsykdommer i hjernen m/bk;1,014;;15;M
17;1;Uspesifikke karsykdommer i hjernen u/bk;0,705;;7;M
18;1;Sykdommer i hjernenerver & perifere nerver m/bk;1,236;;17;M
19;1;Sykdommer i hjernenerver & perifere nerver u/bk;0,863;;9;M
20;1;Infeksjon i nervesystemet ekskl viral meningitt;2,697;;30;M
21;1;Viral meningitt;0,839;;8;M
23;1;Ikke-traumatisk koma & stupor;0,856;;7;M
24;1;Kramper & hodepine >17 år m/bk;0,925;;11;M
25;1;Kramper & hodepine >17 år u/bk;0,578;;13;M
26;1;Kramper & hodepine 0-17 år;0,853;;10;M
27;1;Alvorlig traumatisk hjerneskade;1,358;;15;M
