book;code;text;never_main;gender
NCSP;AAA00;Eksplorativ kraniotomi;;
NCSP;AAA10;Biopsi via kraniotomi;;
NCSP;AAA20;Innlegging av intraventrikulær trykkmåler;;
NCSP;AAA25;Innlegging av epidural trykkmåler;;
NCSP;AAA27;Innlegging av intracerebral trykkmåler;;
NCSP;AAA30;Innlegging av epidural elektrode;;
NCSP;AAA35;Innlegging av subdural elektrode;;
NCSP;AAA40;Innlegging av intracerebral elektrode;;
NCSP;AAA50;Intrakraniell endoskopi;;
NCSP;AAA99;Annet diagnostisk intrakranielt inngrep;;
NCMP;AAAA00;EEG overvåking med ekstrakranielle elektroder;;
NCMP;AAAA05;EEG overvåking med intrakranielle elektroder;;
NCMP;AAAA10;Corticografi;;
NCMP;AAAA20;Peroperativ overvåking med fremkalte responser;;
NCSP;AAB00;Ekstirpasjon av intrakraniell lesjon;;
NCRP;AAB06K;Perkutan biopsi av calvariet, ultralydveiledet;;
NCSP;AAB10;Reseksjon av intrakraniell lesjon;;
NCSP;AAB20;Destruksjon av intrakraniell lesjon;;
NCSP;AAB30;Evakuering av spontant intrakranielt hematom;;
NCSP;AAB99;Annen eksisjon eller destruksjon av intrakraniell lesjon;;
NCSP;AAC00;Ligatur av intrakranielt aneurisme;;
NCSP;AAC05;Proksimal ligatur av intrakranielt aneurisme;;
NCSP;AAC10;Forsterkning av intrakraniell aneurismevegg;;
NCSP;AAC15;Trapping av intrakranielt aneurisme;;
NCSP;AAC20;Intrakraniell karanastomose;;
NCSP;AAC30;Intrakraniell okklusjon av karfistel;;
NCSP;AAC40;Ekstirpasjon av intrakraniell arteriovenøs malformasjon;;
NCSP;AAC99;Annen operasjon for intrakraniell vaskulær lesjon;;
NCSP;AAD00;Evakuering av epiduralt hematom;;
NCSP;AAD05;Evakuering av akutt subduralt hematom;;
NCSP;AAD10;Evakuering av kronisk subduralt hematom;;
NCSP;AAD15;Evakuering av intracerebral traumatisk lesjon;;
NCSP;AAD30;Revisjon av penetrerende kranieskade;;
NCSP;AAD40;Revisjon av kraniefraktur;;
NCSP;AAD99;Annen operasjon for hodeskade;;
NCSP;AAE00;Transsfenoidal eksplorasjon;;
NCSP;AAE10;Transsphenoidal ekstirp eller reseksjon av intrakran lesjon;;
NCRP;AAE11B;Perkutan trombektomi el. embolektomi i intrakraniell arterie;;
NCSP;AAE20;Transoral ekstirp eller reseksjon av intrakraniell lesjon;;
NCSP;AAE25;Transcervikal ekstirp eller reseksjon av intrakran lesjon;;
NCSP;AAE30;Translabyrintær ekstirp eller reseksjon av intrakran lesjon;;
NCSP;AAE40;Transtemporal ekstirp eller reseksjon av intrakran lesjon;;
NCSP;AAE50;Zygomaticotemporal ekstirp el reseksjon av intrakran lesjon;;
NCSP;AAE99;Annen operasjon på skallebasis;;
NCSP;AAF00;Ventrikulostomi;;
NCSP;AAF02;Ekstern drenasje av hjerneventrikkel;;
NCSP;AAF05;Ventrikuloperitoneal shunt;;
NCSP;AAF10;Lumboperitoneal shunt;;
NCSP;AAF15;Ventrikuloatrial shunt;;
NCSP;AAF20;Revisjon av shunt fra hjerneventrikkel;;
NCSP;AAF25;Fjerning av shunt fra hjerneventrikkel;;
NCSP;AAF30;Implantasjon av intraventrikulært injeksjonsutstyr;;
NCSP;AAF35;Implantasjon av reservoar for intraventrikulær behandling;;
NCSP;AAF40;Shunt av intrakraniell cyste til peritoneum;;
NCSP;AAF45;Fenestrasjon av intrakraniell cyste;;
NCSP;AAF99;Annen shuntoperasjon på hjerneventrikkel el intrakran cyste;;
NCMP;AAFE00;Standard elektroencefalografi (EEG);;
NCMP;AAFE05;Søvndeprivert EEG;;
